text,department
Rainwater not draining properly in residential colony,Municipal
Emergency services delayed in near park,Medical
Drainage overflow in hospital road,Municipal
Electric pole sparks near near bus stop,Electricity
Pothole on road near residential colony,Roads
Transformer problem in village center,Electricity
Water leakage near near bus stop,Water
Pothole on road near main road,Roads
Drainage overflow in my street,Municipal
Electric pole sparks near village center,Electricity
Waste dumped for many days at village center,Sanitation
Overflowing dustbin at near bus stop,Sanitation
Suspicious people roaming in my street,Police
Open garbage causing bad smell in near bus stop,Sanitation
Pothole on road near main road,Roads
Drainage overflow in school area,Municipal
Overflowing dustbin at market area,Sanitation
Long waiting time at hospital in junction,Medical
Ambulance not responding in near bus stop,Medical
Open garbage causing bad smell in market area,Sanitation
Cracks on main road at school area,Roads
Rainwater not draining properly in school area,Municipal
Open manhole near main road,Municipal
Transformer problem in main road,Electricity
Road damaged after rain at main road,Roads
No water supply in my street,Water
Noise disturbance during night in residential colony,Police
Uneven road surface in residential colony,Roads
Drainage overflow in hospital road,Municipal
Doctors not available at hospital in my street,Medical
Street light not working at my street,Electricity
Water pipe burst in near park,Water
Sewage blockage at main road,Municipal
Noise disturbance during night in main road,Police
Theft reported in near park,Police
Theft reported in school area,Police
Road damaged after rain at near park,Roads
Electric pole sparks near residential colony,Electricity
Frequent power cut in near bus stop,Electricity
Frequent power cut in village center,Electricity
Traffic violations reported in main road,Police
Pothole on road near junction,Roads
Incomplete road construction at hospital road,Roads
Street light not working at village center,Electricity
Road damaged after rain at near park,Roads
Sewage blockage at near bus stop,Municipal
Sewage blockage at my street,Municipal
Street light not working at hospital road,Electricity
Ambulance not responding in village center,Medical
Water leakage near school area,Water
Water leakage near hospital road,Water
Open garbage causing bad smell in hospital road,Sanitation
Transformer problem in near bus stop,Electricity
Sewage blockage at near bus stop,Municipal
Garbage not collected near village center,Sanitation
Broken electric wire at near park,Electricity
Waste dumped for many days at hospital road,Sanitation
Sanitation workers not cleaning near bus stop,Sanitation
Traffic violations reported in village center,Police
Waste dumped for many days at near bus stop,Sanitation
Rainwater not draining properly in main road,Municipal
Poor hygiene in hospital at hospital road,Medical
Transformer problem in village center,Electricity
No water supply in near bus stop,Water
Frequent power cut in village center,Electricity
Transformer problem in my street,Electricity
Ambulance not responding in my street,Medical
Open garbage causing bad smell in school area,Sanitation
Frequent power cut in main road,Electricity
Sewage blockage at my street,Municipal
Sewage blockage at near park,Municipal
Garbage not collected near hospital road,Sanitation
Suspicious people roaming in main road,Police
Illegal activities happening in main road,Police
Open garbage causing bad smell in junction,Sanitation
Pothole on road near my street,Roads
Dirty water supplied at main road,Water
Water pipe burst in near park,Water
No water supply in junction,Water
Ambulance not responding in main road,Medical
Sewage blockage at market area,Municipal
Doctors not available at hospital in market area,Medical
Open manhole near hospital road,Municipal
Rainwater not draining properly in hospital road,Municipal
Street light not working at near park,Electricity
Noise disturbance during night in residential colony,Police
Long waiting time at hospital in near bus stop,Medical
Road damaged after rain at hospital road,Roads
Open manhole near hospital road,Municipal
Overflowing dustbin at near bus stop,Sanitation
Waste dumped for many days at main road,Sanitation
Open garbage causing bad smell in junction,Sanitation
Suspicious people roaming in market area,Police
Sewage blockage at near bus stop,Municipal
Theft reported in village center,Police
No water supply in school area,Water
Cracks on main road at school area,Roads
Illegal activities happening in junction,Police
Traffic violations reported in near bus stop,Police
Poor hygiene in hospital at my street,Medical
Rainwater not draining properly in near park,Municipal
Transformer problem in school area,Electricity
Sewage blockage at village center,Municipal
Cracks on main road at main road,Roads
Ambulance not responding in village center,Medical
Water leakage near junction,Water
Poor hygiene in hospital at school area,Medical
Overflowing dustbin at hospital road,Sanitation
Drainage overflow in hospital road,Municipal
Dirty water supplied at village center,Water
Uneven road surface in junction,Roads
Incomplete road construction at residential colony,Roads
Road damaged after rain at hospital road,Roads
Dirty water supplied at hospital road,Water
Sewage blockage at main road,Municipal
Ambulance not responding in market area,Medical
Traffic violations reported in village center,Police
Rainwater not draining properly in hospital road,Municipal
Water leakage near near bus stop,Water
Ambulance not responding in near park,Medical
Street light not working at hospital road,Electricity
Waste dumped for many days at my street,Sanitation
Poor hygiene in hospital at near park,Medical
Drain cover missing in main road,Municipal
Doctors not available at hospital in hospital road,Medical
Drainage overflow in residential colony,Municipal
Street light not working at residential colony,Electricity
Poor hygiene in hospital at school area,Medical
Frequent power cut in near park,Electricity
Overflowing dustbin at hospital road,Sanitation
Emergency services delayed in residential colony,Medical
Garbage not collected near hospital road,Sanitation
Water leakage near market area,Water
Ambulance not responding in near bus stop,Medical
Open manhole near near bus stop,Municipal
Rainwater not draining properly in school area,Municipal
Sewage blockage at village center,Municipal
Transformer problem in main road,Electricity
Suspicious people roaming in junction,Police
Cracks on main road at junction,Roads
Overflowing dustbin at market area,Sanitation
Overflowing dustbin at my street,Sanitation
Drain cover missing in residential colony,Municipal
Noise disturbance during night in school area,Police
Electric pole sparks near near park,Electricity
Low water pressure at main road,Water
Illegal activities happening in near bus stop,Police
Sanitation workers not cleaning near park,Sanitation
Traffic violations reported in near park,Police
Drainage overflow in junction,Municipal
Garbage not collected near market area,Sanitation
Incomplete road construction at market area,Roads
Drainage overflow in main road,Municipal
Dirty water supplied at village center,Water
Garbage not collected near near park,Sanitation
Suspicious people roaming in main road,Police
Road damaged after rain at my street,Roads
Ambulance not responding in school area,Medical
Ambulance not responding in my street,Medical
Pothole on road near village center,Roads
Poor hygiene in hospital at junction,Medical
Open garbage causing bad smell in my street,Sanitation
Rainwater not draining properly in residential colony,Municipal
Cracks on main road at near bus stop,Roads
Traffic violations reported in school area,Police
Transformer problem in main road,Electricity
Transformer problem in main road,Electricity
Waste dumped for many days at village center,Sanitation
Sewage blockage at hospital road,Municipal
Sanitation workers not cleaning hospital road,Sanitation
Broken electric wire at near park,Electricity
Cracks on main road at school area,Roads
Incomplete road construction at my street,Roads
Dirty water supplied at market area,Water
Drainage overflow in my street,Municipal
Waste dumped for many days at junction,Sanitation
Open garbage causing bad smell in near bus stop,Sanitation
Open garbage causing bad smell in village center,Sanitation
Water leakage near my street,Water
Poor hygiene in hospital at my street,Medical
Long waiting time at hospital in main road,Medical
Incomplete road construction at near bus stop,Roads
Water pipe burst in school area,Water
Waste dumped for many days at market area,Sanitation
Incomplete road construction at hospital road,Roads
Frequent power cut in my street,Electricity
Suspicious people roaming in village center,Police
Transformer problem in junction,Electricity
Open garbage causing bad smell in school area,Sanitation
Open manhole near hospital road,Municipal
Illegal activities happening in hospital road,Police
Road damaged after rain at near park,Roads
Traffic violations reported in main road,Police
Road damaged after rain at near bus stop,Roads
Long waiting time at hospital in hospital road,Medical
Illegal activities happening in near bus stop,Police
No water supply in school area,Water
Rainwater not draining properly in junction,Municipal
Sanitation workers not cleaning my street,Sanitation
Open manhole near near bus stop,Municipal
Emergency services delayed in near park,Medical
Ambulance not responding in village center,Medical
Water pipe burst in near bus stop,Water
Cracks on main road at junction,Roads
Doctors not available at hospital in school area,Medical
Water leakage near near bus stop,Water
Drainage overflow in village center,Municipal
Frequent power cut in school area,Electricity
Theft reported in near bus stop,Police
Open manhole near residential colony,Municipal
Long waiting time at hospital in village center,Medical
Open manhole near residential colony,Municipal
Electric pole sparks near market area,Electricity
Road damaged after rain at school area,Roads
Illegal activities happening in near park,Police
Emergency services delayed in junction,Medical
Illegal activities happening in hospital road,Police
Emergency services delayed in residential colony,Medical
Ambulance not responding in residential colony,Medical
Overflowing dustbin at school area,Sanitation
Frequent power cut in main road,Electricity
Water pipe burst in junction,Water
Noise disturbance during night in my street,Police
Rainwater not draining properly in near bus stop,Municipal
Broken electric wire at near bus stop,Electricity
Electric pole sparks near near bus stop,Electricity
Open garbage causing bad smell in market area,Sanitation
Electric pole sparks near main road,Electricity
Transformer problem in my street,Electricity
Street light not working at village center,Electricity
Noise disturbance during night in near park,Police
